id_partido,fecha,liga,temporada,equipo_home,rival_home,es_local_home,goles_favor_home,goles_contra_home,xg_favor_home,xg_contra_home,xg_favor_roll_5_home,xg_contra_roll_5_home,xg_diff_roll_5_home,xg_favor_roll_10_home,xg_contra_roll_10_home,xg_diff_roll_10_home,conversion_ratio_10_home,equipo_away,rival_away,es_local_away,goles_favor_away,goles_contra_away,xg_favor_away,xg_contra_away,xg_favor_roll_5_away,xg_contra_roll_5_away,xg_diff_roll_5_away,xg_favor_roll_10_away,xg_contra_roll_10_away,xg_diff_roll_10_away,conversion_ratio_10_away,cuota_home,cuota_draw,cuota_away,target_1x2,tendencia_xg_home,tendencia_xg_away,diff_xg_10_h_vs_a,prob_empate,prob_local,prob_visita
20250518_Lecce_Torino,2025-05-18 18:45:00,ITA-Serie A,2425,Lecce,Torino,1,1,0,0.970765,0.476384,0.917533,1.478788,-0.561255,1.0294028,1.5978837,-0.5684809000000002,0.6800052612978503,Torino,Lecce,0,0,1,0.476384,0.970765,1.2327346,1.3954934,-0.1627587999999997,1.0614971,1.4042941,-0.342797,0.9420648044494851,1.4,4.9,8.19,1,0.007225900000000229,0.18003820000000031,-0.03209430000000002,0.29431927,0.2582423,0.4474384
20250518_Monza_Empoli,2025-05-18 18:45:00,ITA-Serie A,2425,Monza,Empoli,1,1,3,1.03178,1.95845,0.9092326,1.7888779999999995,-0.8796453999999998,0.8861479000000001,1.8284468,-0.9422989,0.67708711256088,Empoli,Monza,0,3,1,1.95845,1.03178,0.8316872,1.1616022,-0.3299150000000002,0.91508744,1.1837204,-0.2686329599999998,0.7649533852706083,1.4,4.9,8.19,2,0.06265350000000025,-0.06128204000000037,-0.028939539999999875,0.27341187,0.2918107,0.43477738
20250519_Brighton_Liverpool,2025-05-19 19:00:00,ENG-Premier League,2425,Brighton,Liverpool,1,3,2,2.17789,3.065,1.6667206,1.7105320000000002,-0.0438114,1.6798502,1.4640112,0.2158389999999999,1.0119943956940949,Liverpool,Brighton,0,2,3,3.065,2.17789,2.528128,1.5836773999999998,0.9444506000000004,2.2541488000000003,1.2022029,1.0519459000000002,0.9316151038409248,2.69,3.83,2.49,1,-0.2596503999999999,-0.10749529999999985,-0.5742986000000003,0.19772333,0.5253505,0.2769262
20250520_Crystal Palace_Wolverhampton Wanderers,2025-05-20 19:00:00,ENG-Premier League,2425,Crystal Palace,Wolverhampton Wanderers,1,4,2,1.68451,1.42886,2.3088556,1.271737,1.0371186000000003,2.1428093,1.5215526,0.6212567000000002,0.700015302334509,Wolverhampton Wanderers,Crystal Palace,0,2,4,1.42886,1.68451,1.2701298,1.2180626,0.0520671999999997,1.2545962,1.2777268999999998,-0.0231306999999998,1.1956028596269783,2.29,3.37,3.34,1,0.4158619000000001,0.0751978999999995,0.8882131000000002,0.18058556,0.71268386,0.10673057
20250520_Manchester City_Bournemouth,2025-05-20 19:00:00,ENG-Premier League,2425,Manchester City,Bournemouth,1,3,1,1.59779,0.962014,2.0567086,0.954684,1.1020246,1.8177151,1.0008257,0.8168893999999998,0.8252113737673337,Bournemouth,Manchester City,0,1,3,0.962014,1.59779,1.1144586,1.2997676000000002,-0.1853090000000001,1.5471543,1.435231,0.1119232999999999,0.7109822782496367,2.29,3.37,3.34,1,0.28513520000000026,-0.2972323,0.27056079999999993,0.22327636,0.6524556,0.12426799
20250523_Napoli_Cagliari,2025-05-23 18:45:00,ITA-Serie A,2425,Napoli,Cagliari,1,2,0,2.16118,0.0969696,1.2952838000000002,0.5514370000000001,0.7438468000000001,1.4761393,0.9599745,0.5161648,0.948419333853293,Cagliari,Napoli,0,0,2,0.0969696,2.16118,1.4344981999999995,1.1196564,0.3148417999999997,1.2118254,1.1705484,0.041277,1.0727609169102108,1.98,3.92,3.72,1,0.22768200000000016,0.2735647999999997,0.2643139000000001,0.36185846,0.48998576,0.1481558
20250523_Como_Inter,2025-05-23 18:45:00,ITA-Serie A,2425,Como,Inter,1,0,2,1.49032,2.27789,1.568594,1.4473614,0.1212325999999999,1.590861,1.4657397,0.1251213,1.0057440557383357,Inter,Como,0,2,0,2.27789,1.49032,1.4891934,1.6582582,-0.1690648000000001,1.9023637,1.3667698,0.5355938999999998,0.8936246556719645,1.98,3.92,3.72,2,-0.003888700000000092,-0.7046587,-0.3115026999999999,0.18821275,0.4176862,0.39410108
20250523_Real Betis_Valencia,2025-05-23 19:00:00,ESP-La Liga,2425,Real Betis,Valencia,1,1,1,1.15286,0.647724,1.1351852,2.0369678,-0.9017826000000002,1.4071138,1.6523488,-0.2452349999999998,1.4924155442043534,Valencia,Real Betis,0,1,1,0.647724,1.15286,1.339898,1.1937874,0.1461106000000001,1.3229934,1.2800570999999998,0.0429363000000002,0.9826194275652262,1.98,3.92,3.72,0,-0.6565476000000005,0.10317429999999989,0.08412039999999998,0.3271181,0.155716,0.5171659
20250524_Real Madrid_Real Sociedad,2025-05-24 14:15:00,ESP-La Liga,2425,Real Madrid,Real Sociedad,1,2,0,2.61915,1.18496,2.561074,1.9465528,0.6145212000000002,2.453124,1.5952006,0.8579233999999998,0.7745222929936307,Real Sociedad,Real Madrid,0,0,2,1.18496,2.61915,1.3699366000000002,1.1416514,0.2282852000000002,1.481289,1.2240342,0.2572548000000001,0.8101047060332548,1.44,5.12,6.73,1,-0.24340219999999957,-0.02896959999999993,0.9718349999999998,0.24980812,0.6458366,0.10435532
20250524_Bologna_Genoa,2025-05-24 16:00:00,ITA-Serie A,2425,Bologna,Genoa,1,1,3,0.628377,1.17343,0.9072966,0.9426196,-0.0353229999999999,1.1725738,0.9435213,0.2290524999999997,1.1939536821019865,Genoa,Bologna,0,3,1,1.17343,0.628377,0.8306657999999999,1.6723499999999998,-0.8416841999999999,0.8673999,1.3997088999999998,-0.5323089999999998,1.0375825065433988,1.44,5.12,6.73,2,-0.2643754999999996,-0.3093752000000001,0.3051739000000001,0.2865251,0.49781814,0.21565679
