id_partido,fecha,liga,temporada,equipo_home,rival_home,es_local_home,goles_favor_home,goles_contra_home,xg_favor_home,xg_contra_home,xg_favor_roll_5_home,xg_contra_roll_5_home,xg_diff_roll_5_home,xg_favor_roll_10_home,xg_contra_roll_10_home,xg_diff_roll_10_home,conversion_ratio_10_home,equipo_away,rival_away,es_local_away,goles_favor_away,goles_contra_away,xg_favor_away,xg_contra_away,xg_favor_roll_5_away,xg_contra_roll_5_away,xg_diff_roll_5_away,xg_favor_roll_10_away,xg_contra_roll_10_away,xg_diff_roll_10_away,conversion_ratio_10_away
20210821_Monaco_Lens,2021-08-21 15:00:00,FRA-Ligue 1,2122,Monaco,Lens,1,0,2,0.241985,0.598613,,,,,,,,Lens,Monaco,0,2,0,0.598613,0.241985,,,,,,,
20210821_Alaves_Mallorca,2021-08-21 15:00:00,ESP-La Liga,2122,Alaves,Mallorca,1,0,1,0.920977,0.82407,,,,,,,,Mallorca,Alaves,0,1,0,0.82407,0.920977,,,,,,,
20210821_Verona_Sassuolo,2021-08-21 16:30:00,ITA-Serie A,2122,Verona,Sassuolo,1,2,3,2.25155,1.86679,,,,,,,,Sassuolo,Verona,0,3,2,1.86679,2.25155,,,,,,,
20210821_Bayer Leverkusen_Borussia M.Gladbach,2021-08-21 16:30:00,GER-Bundesliga,2122,Bayer Leverkusen,Borussia M.Gladbach,1,4,0,1.94592,1.66054,,,,,,,,Borussia M.Gladbach,Bayer Leverkusen,0,0,4,1.66054,1.94592,,,,,,,
20210821_Inter_Genoa,2021-08-21 16:30:00,ITA-Serie A,2122,Inter,Genoa,1,4,0,2.20707,0.967177,,,,,,,,Genoa,Inter,0,0,4,0.967177,2.20707,,,,,,,
20210821_Brighton_Watford,2021-08-21 16:30:00,ENG-Premier League,2122,Brighton,Watford,1,2,0,1.77896,0.407224,,,,,,,,Watford,Brighton,0,0,2,0.407224,1.77896,,,,,,,
20210821_Espanyol_Villarreal,2021-08-21 17:30:00,ESP-La Liga,2122,Espanyol,Villarreal,1,0,0,1.68861,0.597171,,,,,,,,Villarreal,Espanyol,0,0,0,0.597171,1.68861,,,,,,,
20210821_Granada_Valencia,2021-08-21 17:30:00,ESP-La Liga,2122,Granada,Valencia,1,1,1,0.752693,1.50025,,,,,,,,Valencia,Granada,0,1,1,1.50025,0.752693,,,,,,,
20210821_Torino_Atalanta,2021-08-21 18:45:00,ITA-Serie A,2122,Torino,Atalanta,1,1,2,0.864837,1.01343,,,,,,,,Atalanta,Torino,0,2,1,1.01343,0.864837,,,,,,,
20210821_Empoli_Lazio,2021-08-21 18:45:00,ITA-Serie A,2122,Empoli,Lazio,1,1,3,1.13436,1.78152,,,,,,,,Lazio,Empoli,0,3,1,1.78152,1.13436,,,,,,,
20210821_Saint-Etienne_Lille,2021-08-21 19:00:00,FRA-Ligue 1,2122,Saint-Etienne,Lille,1,1,1,0.476794,1.1966,,,,,,,,Lille,Saint-Etienne,0,1,1,1.1966,0.476794,,,,,,,
20210821_Athletic Club_Barcelona,2021-08-21 20:00:00,ESP-La Liga,2122,Athletic Club,Barcelona,1,1,1,1.43436,1.18383,,,,,,,,Barcelona,Athletic Club,0,1,1,1.18383,1.43436,,,,,,,
20210822_Lyon_Clermont Foot,2021-08-22 11:00:00,FRA-Ligue 1,2122,Lyon,Clermont Foot,1,3,3,3.31864,1.82093,,,,,,,,Clermont Foot,Lyon,0,3,3,1.82093,3.31864,,,,,,,
20210822_Strasbourg_Troyes,2021-08-22 13:00:00,FRA-Ligue 1,2122,Strasbourg,Troyes,1,1,1,2.95463,1.14502,,,,,,,,Troyes,Strasbourg,0,1,1,1.14502,2.95463,,,,,,,
20210822_Metz_Reims,2021-08-22 13:00:00,FRA-Ligue 1,2122,Metz,Reims,1,1,1,0.670048,1.18358,,,,,,,,Reims,Metz,0,1,1,1.18358,0.670048,,,,,,,
20210822_Wolverhampton Wanderers_Tottenham,2021-08-22 13:00:00,ENG-Premier League,2122,Wolverhampton Wanderers,Tottenham,1,0,1,1.51127,1.72636,,,,,,,,Tottenham,Wolverhampton Wanderers,0,1,0,1.72636,1.51127,,,,,,,
20210822_Bordeaux_Angers,2021-08-22 13:00:00,FRA-Ligue 1,2122,Bordeaux,Angers,1,1,1,0.603119,1.01295,,,,,,,,Angers,Bordeaux,0,1,1,1.01295,0.603119,,,,,,,
20210822_Montpellier_Lorient,2021-08-22 13:00:00,FRA-Ligue 1,2122,Montpellier,Lorient,1,3,1,3.64876,0.462326,,,,,,,,Lorient,Montpellier,0,1,3,0.462326,3.64876,,,,,,,
20210822_Southampton_Manchester United,2021-08-22 13:00:00,ENG-Premier League,2122,Southampton,Manchester United,1,1,1,0.587526,2.26173,,,,,,,,Manchester United,Southampton,0,1,1,2.26173,0.587526,,,,,,,
20210822_Hoffenheim_Union Berlin,2021-08-22 13:30:00,GER-Bundesliga,2122,Hoffenheim,Union Berlin,1,2,2,0.967015,2.35122,,,,,,,,Union Berlin,Hoffenheim,0,2,2,2.35122,0.967015,,,,,,,
20210822_Rennes_Nantes,2021-08-22 15:00:00,FRA-Ligue 1,2122,Rennes,Nantes,1,1,0,0.869605,0.264197,,,,,,,,Nantes,Rennes,0,0,1,0.264197,0.869605,,,,,,,
20210822_Real Sociedad_Rayo Vallecano,2021-08-22 15:00:00,ESP-La Liga,2122,Real Sociedad,Rayo Vallecano,1,1,0,2.26913,0.76322,,,,,,,,Rayo Vallecano,Real Sociedad,0,0,1,0.76322,2.26913,,,,,,,
20210822_Arsenal_Chelsea,2021-08-22 15:30:00,ENG-Premier League,2122,Arsenal,Chelsea,1,0,2,0.630099,3.64132,,,,,,,,Chelsea,Arsenal,0,2,0,3.64132,0.630099,,,,,,,
20210822_Bayern Munich_FC Cologne,2021-08-22 15:30:00,GER-Bundesliga,2122,Bayern Munich,FC Cologne,1,3,2,3.08002,0.957893,,,,,,,,FC Cologne,Bayern Munich,0,2,3,0.957893,3.08002,,,,,,,
20210822_Bologna_Salernitana,2021-08-22 16:30:00,ITA-Serie A,2122,Bologna,Salernitana,1,3,2,1.72577,1.63711,,,,,,,,Salernitana,Bologna,0,2,3,1.63711,1.72577,,,,,,,
20210822_Udinese_Juventus,2021-08-22 16:30:00,ITA-Serie A,2122,Udinese,Juventus,1,2,2,2.08573,1.49379,,,,,,,,Juventus,Udinese,0,2,2,1.49379,2.08573,,,,,,,
20210822_Atletico Madrid_Elche,2021-08-22 17:30:00,ESP-La Liga,2122,Atletico Madrid,Elche,1,1,0,1.04508,0.168373,,,,,,,,Elche,Atletico Madrid,0,0,1,0.168373,1.04508,,,,,,,
20210822_Roma_Fiorentina,2021-08-22 18:45:00,ITA-Serie A,2122,Roma,Fiorentina,1,3,1,2.75414,0.867167,,,,,,,,Fiorentina,Roma,0,1,3,0.867167,2.75414,,,,,,,
20210822_Napoli_Venezia,2021-08-22 18:45:00,ITA-Serie A,2122,Napoli,Venezia,1,2,0,2.39159,0.60988,,,,,,,,Venezia,Napoli,0,0,2,0.60988,2.39159,,,,,,,
20210822_Levante_Real Madrid,2021-08-22 20:00:00,ESP-La Liga,2122,Levante,Real Madrid,1,3,3,1.63837,2.14125,,,,,,,,Real Madrid,Levante,0,3,3,2.14125,1.63837,,,,,,,
20210823_Cagliari_Spezia,2021-08-23 16:30:00,ITA-Serie A,2122,Cagliari,Spezia,1,2,2,3.28935,1.03088,,,,,,,,Spezia,Cagliari,0,2,2,1.03088,3.28935,,,,,,,
20210823_Getafe_Sevilla,2021-08-23 18:00:00,ESP-La Liga,2122,Getafe,Sevilla,1,0,1,0.391853,0.813891,,,,,,,,Sevilla,Getafe,0,1,0,0.813891,0.391853,,,,,,,
20210823_Sampdoria_AC Milan,2021-08-23 18:45:00,ITA-Serie A,2122,Sampdoria,AC Milan,1,0,1,1.24757,0.804449,,,,,,,,AC Milan,Sampdoria,0,1,0,0.804449,1.24757,,,,,,,
20210823_West Ham_Leicester,2021-08-23 19:00:00,ENG-Premier League,2122,West Ham,Leicester,1,4,1,2.28613,0.62676,,,,,,,,Leicester,West Ham,0,1,4,0.62676,2.28613,,,,,,,
20210823_Osasuna_Celta Vigo,2021-08-23 20:00:00,ESP-La Liga,2122,Osasuna,Celta Vigo,1,0,0,2.58218,0.084571,,,,,,,,Celta Vigo,Osasuna,0,0,0,0.084571,2.58218,,,,,,,
20210827_Udinese_Venezia,2021-08-27 16:30:00,ITA-Serie A,2122,Udinese,Venezia,1,3,0,3.01783,0.908926,,,,,,,,Venezia,Udinese,0,0,3,0.908926,3.01783,,,,,,,
20210827_Mallorca_Espanyol,2021-08-27 18:00:00,ESP-La Liga,2122,Mallorca,Espanyol,1,1,0,1.28733,0.296878,,,,,,,,Espanyol,Mallorca,0,0,1,0.296878,1.28733,,,,,,,
20210827_Borussia Dortmund_Hoffenheim,2021-08-27 18:30:00,GER-Bundesliga,2122,Borussia Dortmund,Hoffenheim,1,3,2,3.40779,2.42487,,,,,,,,Hoffenheim,Borussia Dortmund,0,2,3,2.42487,3.40779,,,,,,,
20210827_Verona_Inter,2021-08-27 18:45:00,ITA-Serie A,2122,Verona,Inter,1,1,3,0.603998,1.8369,,,,,,,,Inter,Verona,0,3,1,1.8369,0.603998,,,,,,,
20210827_Nantes_Lyon,2021-08-27 19:00:00,FRA-Ligue 1,2122,Nantes,Lyon,1,0,1,1.35394,1.44128,0.742004,1.17462,-0.432616,0.742004,1.17462,-0.432616,1.3476955753357334,Lyon,Nantes,0,1,0,1.44128,1.35394,1.823658,1.49413,0.32952800000000004,1.823658,1.49413,0.32952800000000004,0.7311299027743455
20210827_Valencia_Alaves,2021-08-27 20:15:00,ESP-La Liga,2122,Valencia,Alaves,1,3,0,2.33998,0.360675,,,,,,,,Alaves,Valencia,0,0,3,0.360675,2.33998,,,,,,,
20210828_Manchester City_Arsenal,2021-08-28 11:30:00,ENG-Premier League,2122,Manchester City,Arsenal,1,5,0,4.47273,0.116805,,,,,,,,Arsenal,Manchester City,0,0,5,0.116805,4.47273,,,,,,,
20210828_Mainz 05_Greuther Fuerth,2021-08-28 13:30:00,GER-Bundesliga,2122,Mainz 05,Greuther Fuerth,1,3,0,2.79493,0.304223,,,,,,,,Greuther Fuerth,Mainz 05,0,0,3,0.304223,2.79493,,,,,,,
20210828_FC Cologne_Bochum,2021-08-28 13:30:00,GER-Bundesliga,2122,FC Cologne,Bochum,1,2,1,2.91135,0.721445,,,,,,,,Bochum,FC Cologne,0,1,2,0.721445,2.91135,,,,,,,
20210828_Augsburg_Bayer Leverkusen,2021-08-28 13:30:00,GER-Bundesliga,2122,Augsburg,Bayer Leverkusen,1,1,4,1.6937,2.1207,,,,,,,,Bayer Leverkusen,Augsburg,0,4,1,2.1207,1.6937,,,,,,,
20210828_VfB Stuttgart_Freiburg,2021-08-28 13:30:00,GER-Bundesliga,2122,VfB Stuttgart,Freiburg,1,2,3,2.28063,1.36171,,,,,,,,Freiburg,VfB Stuttgart,0,3,2,1.36171,2.28063,,,,,,,
20210828_Arminia Bielefeld_Eintracht Frankfurt,2021-08-28 13:30:00,GER-Bundesliga,2122,Arminia Bielefeld,Eintracht Frankfurt,1,1,1,0.626534,1.78556,,,,,,,,Eintracht Frankfurt,Arminia Bielefeld,0,1,1,1.78556,0.626534,,,,,,,
20210828_Newcastle United_Southampton,2021-08-28 14:00:00,ENG-Premier League,2122,Newcastle United,Southampton,1,2,2,1.19077,3.46036,,,,,,,,Southampton,Newcastle United,0,2,2,3.46036,1.19077,,,,,,,
20210828_Brighton_Everton,2021-08-28 14:00:00,ENG-Premier League,2122,Brighton,Everton,1,0,2,0.701622,1.54868,,,,,,,,Everton,Brighton,0,2,0,1.54868,0.701622,,,,,,,
20210828_Norwich_Leicester,2021-08-28 14:00:00,ENG-Premier League,2122,Norwich,Leicester,1,1,2,1.44084,1.27371,,,,,,,,Leicester,Norwich,0,2,1,1.27371,1.44084,,,,,,,
20210828_Aston Villa_Brentford,2021-08-28 14:00:00,ENG-Premier League,2122,Aston Villa,Brentford,1,1,1,0.431464,1.13312,,,,,,,,Brentford,Aston Villa,0,1,1,1.13312,0.431464,,,,,,,
20210828_West Ham_Crystal Palace,2021-08-28 14:00:00,ENG-Premier League,2122,West Ham,Crystal Palace,1,2,2,1.44748,1.67658,,,,,,,,Crystal Palace,West Ham,0,2,2,1.67658,1.44748,,,,,,,
