id_partido,fecha,liga,temporada,equipo_home,rival_home,es_local_home,goles_favor_home,goles_contra_home,xg_favor_home,xg_contra_home,xg_favor_roll_5_home,xg_contra_roll_5_home,xg_diff_roll_5_home,xg_favor_roll_10_home,xg_contra_roll_10_home,xg_diff_roll_10_home,conversion_ratio_10_home,equipo_away,rival_away,es_local_away,goles_favor_away,goles_contra_away,xg_favor_away,xg_contra_away,xg_favor_roll_5_away,xg_contra_roll_5_away,xg_diff_roll_5_away,xg_favor_roll_10_away,xg_contra_roll_10_away,xg_diff_roll_10_away,conversion_ratio_10_away,cuota_home,cuota_draw,cuota_away
20211016_Aston Villa_Wolverhampton Wanderers,2021-10-16 14:00:00,ENG-Premier League,2122,Aston Villa,Wolverhampton Wanderers,1,2,3,1.21276,2.19633,1.005822,1.363331,-0.3575090000000001,1.0500785714285714,1.256949285714286,-0.2068707142857144,1.3604405650725933,Wolverhampton Wanderers,Aston Villa,0,3,2,2.19633,1.21276,1.4892906,1.0462918,0.4429987999999998,1.4692661428571427,1.0894144285714285,0.3798517142857143,0.4861508742013635,2.789473684210526,3.3342105263157897,3.226842105263158
20211017_Everton_West Ham,2021-10-17 13:00:00,ENG-Premier League,2122,Everton,West Ham,1,0,1,0.854165,2.03034,1.5392990000000002,1.0300902,0.5092088000000001,1.7060364285714285,0.956735,0.7493014285714285,1.0885707192061138,West Ham,Everton,0,1,0,2.03034,0.854165,1.4404374,1.352359,0.0880784000000001,1.7853867142857145,1.2954021428571427,0.4899845714285715,1.1202045941670786,2.9257894736842105,3.392631578947368,3.488421052631579
20211017_Newcastle United_Tottenham,2021-10-17 15:30:00,ENG-Premier League,2122,Newcastle United,Tottenham,1,2,3,0.645658,1.55008,1.2756178000000002,1.9452242,-0.6696063999999999,1.2412827142857144,1.9885387142857145,-0.7472560000000001,0.9207055044033317,Tottenham,Newcastle United,0,3,2,1.55008,0.645658,0.8932467200000002,1.7191151999999998,-0.8258684799999997,1.0361048,1.744670857142857,-0.7085660571428571,0.8272731439175652,2.312105263157895,3.3131578947368423,3.8242105263157895
20211018_Arsenal_Crystal Palace,2021-10-18 19:00:00,ENG-Premier League,2122,Arsenal,Crystal Palace,1,2,2,1.7436,0.492239,1.142107,1.5842544,-0.4421474000000001,1.052069142857143,1.921538857142857,-0.8694697142857144,0.6789332709076822,Crystal Palace,Arsenal,0,2,2,0.492239,1.7436,1.5506256,1.1971521199999997,0.3534734800000003,1.240163142857143,1.126469942857143,0.1136931999999997,0.9215366808460445,1.54,4.433684210526316,8.544736842105262
20211022_Arsenal_Aston Villa,2021-10-22 19:00:00,ENG-Premier League,2122,Arsenal,Aston Villa,1,3,1,3.4984,1.41088,1.467466,0.7881562,0.6793098,1.1385105,1.742876375,-0.604365875,0.7685471845152235,Aston Villa,Arsenal,0,1,3,1.41088,3.4984,1.1620812,1.575973,-0.4138918,1.07041375,1.374371875,-0.3039581250000001,1.401325654068749,1.54,4.433684210526316,8.544736842105262
20211023_Chelsea_Norwich,2021-10-23 11:30:00,ENG-Premier League,2122,Chelsea,Norwich,1,7,0,3.10509,0.267429,1.6086636,1.343926,0.2647375999999999,1.68067075,1.21950625,0.4611645,1.1900001904000306,Norwich,Chelsea,0,0,7,0.267429,3.10509,0.7990714000000001,1.827455,-1.0283835999999995,0.849313225,1.829693125,-0.9803799,0.2943550444021339,1.3473684210526315,5.2,12.465789473684211
20211023_Everton_Watford,2021-10-23 14:00:00,ENG-Premier League,2122,Everton,Watford,1,2,5,1.84089,3.10344,1.400396,1.2958338,0.1045621999999999,1.5995525,1.090935625,0.508616875,1.0159083431863418,Watford,Everton,0,5,2,3.10344,1.84089,0.8018867999999999,2.218935,-1.4170482000000002,0.79537925,1.86647225,-1.071093,1.100102403818047,2.9257894736842105,3.392631578947368,3.488421052631579
20211024_West Ham_Tottenham,2021-10-24 13:00:00,ENG-Premier League,2122,West Ham,Tottenham,1,1,0,1.73468,0.672198,1.5570094,1.187876,0.3691333999999999,1.816005875,1.2402475,0.5757583750000002,1.0324849358727048,Tottenham,West Ham,0,0,1,0.672198,1.73468,1.01907012,1.7290436,-0.7099734800000002,1.1003517,1.60729425,-0.50694255,1.022399221995088,3.0710526315789473,3.3394736842105264,3.0805263157894736
20211030_Newcastle United_Chelsea,2021-10-30 14:00:00,ENG-Premier League,2122,Newcastle United,Chelsea,1,0,3,0.157616,2.16608,1.1865496,1.4596922,-0.2731425999999999,1.1173833333333334,1.9695256666666667,-0.8521423333333333,1.0938242681818453,Chelsea,Newcastle United,0,3,0,2.16608,0.157616,1.9853756,1.1627138,0.8226617999999999,1.838939555555556,1.1137198888888888,0.7252196666666668,1.3896889670659425,2.312105263157895,3.3131578947368423,3.8242105263157895
20211030_Liverpool_Brighton,2021-10-30 14:00:00,ENG-Premier League,2122,Liverpool,Brighton,1,2,2,1.39778,1.51032,2.7355676,1.257216,1.4783516,2.7323097777777776,1.0595551111111112,1.6727546666666664,1.0979716884340232,Brighton,Liverpool,0,2,2,1.51032,1.39778,1.1169352,1.544208,-0.4272727999999999,1.1153844444444443,1.3558011111111112,-0.2404166666666667,0.896550968424471,1.6636842105263157,3.8426315789473686,7.0
20211030_Tottenham_Manchester United,2021-10-30 16:30:00,ENG-Premier League,2122,Tottenham,Manchester United,1,0,3,1.15787,1.38612,1.1379968,1.4972355999999998,-0.3592387999999997,1.0527790666666668,1.6214482222222222,-0.5686691555555554,0.9498659084851058,Manchester United,Tottenham,0,3,0,1.38612,1.15787,1.450176,2.315092,-0.864916,1.6524925555555556,1.6832355555555556,-0.0307429999999999,1.0758151838268937,1.9742105263157894,3.488421052631579,5.1147368421052635
20211031_Aston Villa_West Ham,2021-10-31 16:30:00,ENG-Premier League,2122,Aston Villa,West Ham,1,1,4,0.687551,2.66391,1.2095592,2.031347,-0.8217878000000003,1.1082433333333332,1.610375,-0.5021316666666669,1.3033626757033143,West Ham,Aston Villa,0,4,1,2.66391,0.687551,1.7588639999999998,1.1838886,0.5749753999999998,1.8069696666666664,1.1771308888888887,0.6298387777777776,0.983844232369988,2.789473684210526,3.3342105263157897,3.226842105263158
20211106_Chelsea_Burnley,2021-11-06 15:00:00,ENG-Premier League,2122,Chelsea,Burnley,1,1,1,3.00585,0.674072,1.9012116000000003,1.053103,0.8481086000000004,1.8716536,1.0181095,0.8535441000000001,1.389145198050965,Burnley,Chelsea,0,1,1,0.674072,3.00585,1.0985972,1.4506098,-0.3520126000000001,1.2286134,1.6001719,-0.3715585000000001,0.8139250199248845,1.3473684210526315,5.2,12.465789473684211
