league,match_id,home_team,away_team,selection,p_model,odds,ev,kelly_stake_frac,won
E0,165,Wolves,Brentford,home,0.3172940557292932,3.59,0.13908566006816248,0.013425256763336148,False
E0,164,Man City,West Ham,draw,0.15404657798174687,7.36,0.13378281394565694,0.005258758409813559,False
E0,164,Man City,West Ham,away,0.09915109850201262,11.88,0.17791505020390996,0.004088121557994257,False
E0,168,Leeds,Crystal Palace,away,0.5233282255674998,2.76,0.4443859025662993,0.05,False
E0,167,Everton,Arsenal,home,0.17182064496212127,6.03,0.036078489121591284,0.0017931654632997655,False
E0,169,Aston Villa,Man United,home,0.4839134837187866,2.1,0.01621831580945199,0.0036859808657845427,True
E0,170,Fulham,Nott'm Forest,home,0.4243294293802021,2.42,0.026877219100089222,0.00473190477114245,True
E0,171,Man United,Newcastle,away,0.46106100521315657,2.67,0.23103288391912802,0.034585761065737713,False
E0,176,Liverpool,Wolves,away,0.10633830323445576,11.25,0.19630591138762732,0.0047879490582348125,False
E0,177,West Ham,Fulham,away,0.39738186075253346,2.59,0.02921901934906157,0.004594185432242386,True
E0,175,Burnley,Everton,home,0.2790591350117391,4.03,0.12460831409730866,0.010281214034431406,False
E0,178,Chelsea,Aston Villa,away,0.2955612987861693,3.97,0.1733783561810922,0.014594137725681171,True
E0,174,Brentford,Bournemouth,home,0.45274637021259556,2.25,0.018679332978340124,0.003735866595668003,True
E0,173,Arsenal,Brighton,away,0.15259291181709095,7.34,0.12003197273744748,0.004733121953369384,False
E0,180,Crystal Palace,Tottenham,away,0.34285609630899183,3.19,0.09371094722568385,0.010697596715260726,True
E0,184,West Ham,Brighton,home,0.33244894050115364,3.41,0.1336508871089339,0.01386419990756577,False
E0,181,Burnley,Newcastle,away,0.6385665796553046,1.59,0.01532086165193447,0.0064918905304806596,True
E0,182,Chelsea,Bournemouth,draw,0.2389212925333174,4.56,0.08948109395192727,0.0062837846876353425,True
E0,182,Chelsea,Bournemouth,away,0.24571323740005424,5.81,0.42759390929431507,0.02222421565978768,False
E0,183,Nott'm Forest,Everton,away,0.28760138905847416,3.7,0.06412513951635446,0.005937512918180957,True
E0,186,Man United,Wolves,draw,0.25138140443558016,5.06,0.2719899064440354,0.016748146948524365,True
E0,186,Man United,Wolves,away,0.2704651292294817,8.09,1.1880628954665067,0.04189220364832535,False
E0,185,Arsenal,Aston Villa,draw,0.21465165224754135,4.68,0.004569732518493463,0.0003104437852237407,False
E0,185,Arsenal,Aston Villa,away,0.17369357610686037,7.02,0.21932890427015983,0.009108343200588025,False
E0,188,Liverpool,Leeds,home,0.8370463235060965,1.53,0.2806808749643277,0.05,False
E0,187,Crystal Palace,Fulham,away,0.31684473063276225,3.4,0.07727208415139164,0.008049175432436618,False
E0,189,Brentford,Tottenham,away,0.33159369379904635,3.35,0.11083887422680538,0.011791369598596306,False
E0,194,Bournemouth,Arsenal,home,0.19630916905941015,6.13,0.20337520633418427,0.009911072433439768,False
E0,194,Bournemouth,Arsenal,draw,0.23222838050139394,4.57,0.06128369889137031,0.004291575552616976,False
E0,191,Aston Villa,Nott'm Forest,away,0.2735178911303997,4.54,0.2417712257320146,0.01707423910536827,False
E0,192,Brighton,Burnley,away,0.16399020981135132,6.56,0.07577577636246469,0.003407184188959738,False
E0,193,Wolves,West Ham,home,0.4082480511244615,2.48,0.01245516678866454,0.002103913308896037,True
E0,197,Newcastle,Crystal Palace,away,0.24074323206816986,4.89,0.1772344048133505,0.011390385913454404,False
E0,199,Fulham,Liverpool,away,0.5685142479600956,1.92,0.09154735608338349,0.02487699893570207,False
E0,195,Leeds,Man United,away,0.4962889228827927,2.56,0.2704996425799493,0.043349301695504695,False
E0,196,Everton,Brentford,away,0.3852058647840515,3.1,0.19413818083055978,0.023111688194114244,True
E0,201,West Ham,Nott'm Forest,home,0.3601284125849168,3.1,0.11639807901324217,0.013856914168243101,False
E0,202,Bournemouth,Tottenham,away,0.3589820412672715,3.27,0.17387127494397792,0.019148818826429274,False
E0,209,Newcastle,Leeds,home,0.7478994631565141,1.67,0.24899210347137846,0.05,True
E0,206,Fulham,Chelsea,home,0.32595139705261067,3.38,0.10171572203782397,0.01068442458380504,True
E0,208,Burnley,Man United,home,0.26016952554380623,4.68,0.21759337954501312,0.014782158936481871,False
E0,208,Burnley,Man United,draw,0.25614946034172337,3.95,0.01179036834980729,0.0009991837584582542,True
E0,207,Man City,Brighton,away,0.14722568854138518,7.27,0.0703307556958701,0.00280425660669339,False
E0,204,Crystal Palace,Aston Villa,home,0.3725650767017906,3.08,0.1475004362415151,0.017728417817489794,False
E0,205,Everton,Wolves,draw,0.2838909348186484,3.55,0.007812818606201866,0.0007659626084511634,True
E0,205,Everton,Wolves,away,0.2900627198214206,4.85,0.40680419113389,0.026415856567135708,False
E0,210,Arsenal,Liverpool,draw,0.24552503414716673,4.11,0.009107890344855374,0.0007321455261137759,True
E0,210,Arsenal,Liverpool,away,0.3052121772291627,5.25,0.6023639304531043,0.03543317237959437,False
E0,216,Tottenham,West Ham,away,0.25449469519959855,4.63,0.1783104387741412,0.012280333248907805,True
E0,212,Chelsea,Brentford,away,0.2712653370781707,4.75,0.28851035112131074,0.01923402340808739,False
E0,217,Nott'm Forest,Arsenal,home,0.19196721401516065,6.1,0.17100000549247985,0.008382353210415685,False
E0,211,Man United,Man City,away,0.5932122015662367,1.94,0.15083167103849915,0.04011480612726041,False
E0,213,Leeds,Fulham,away,0.5183511433958745,3.41,0.7675773989799322,0.05,False
E0,219,Aston Villa,Everton,draw,0.2691260711529071,3.87,0.041517895361750545,0.0036165414078179916,False
E0,219,Aston Villa,Everton,away,0.24100328328621806,5.09,0.22670671192685,0.013857378479636308,True
